country,date,Unnamed: 0,Confirmed,Deaths,Last Update,Latitude,Longitude,province,Recovered,name,pop2020,confirmed_percent,% Confirmed
Armenia,2020-03-01,2912,1.0,0.0,2020-03-01T19:53:02,40.0691,45.0382,,0.0,Armenia,2963.243,3.3746810504572186e-07,3.374681050457219e-05
Armenia,2020-03-02,3043,1.0,0.0,2020-03-01T19:53:02,40.0691,45.0382,,0.0,Armenia,2963.243,3.3746810504572186e-07,3.374681050457219e-05
Armenia,2020-03-03,3192,1.0,0.0,2020-03-01T19:53:02,40.0691,45.0382,,0.0,Armenia,2963.243,3.3746810504572186e-07,3.374681050457219e-05
Armenia,2020-03-04,3351,1.0,0.0,2020-03-01T19:53:02,40.0691,45.0382,,0.0,Armenia,2963.243,3.3746810504572186e-07,3.374681050457219e-05
Armenia,2020-03-05,3522,1.0,0.0,2020-03-01T19:53:02,40.0691,45.0382,,0.0,Armenia,2963.243,3.3746810504572186e-07,3.374681050457219e-05
Armenia,2020-03-06,3707,1.0,0.0,2020-03-01T19:53:02,40.0691,45.0382,,0.0,Armenia,2963.243,3.3746810504572186e-07,3.374681050457219e-05
Armenia,2020-03-07,3921,1.0,0.0,2020-03-01T19:53:02,40.0691,45.0382,,0.0,Armenia,2963.243,3.3746810504572186e-07,3.374681050457219e-05
Armenia,2020-03-08,4168,1.0,0.0,2020-03-01T19:53:02,40.0691,45.0382,,0.0,Armenia,2963.243,3.3746810504572186e-07,3.374681050457219e-05
Armenia,2020-03-09,4433,1.0,0.0,2020-03-01T19:53:02,40.0691,45.0382,,0.0,Armenia,2963.243,3.3746810504572186e-07,3.374681050457219e-05
Armenia,2020-03-10,4680,1.0,0.0,2020-03-01T19:53:02,40.0691,45.0382,,0.0,Armenia,2963.243,3.3746810504572186e-07,3.374681050457219e-05
Armenia,2020-03-11,4898,1.0,0.0,2020-03-01T19:53:02,40.0691,45.0382,,0.0,Armenia,2963.243,3.3746810504572186e-07,3.374681050457219e-05
Armenia,2020-03-12,5095,4.0,0.0,2020-03-12T21:39:09,40.0691,45.0382,,0.0,Armenia,2963.243,1.3498724201828874e-06,0.00013498724201828875
Armenia,2020-03-13,5248,8.0,0.0,2020-03-11T20:00:00,40.0691,45.0382,,0.0,Armenia,2963.243,2.699744840365775e-06,0.0002699744840365775
Armenia,2020-03-14,5517,18.0,0.0,2020-03-14T20:53:02,40.0691,45.0382,,0.0,Armenia,2963.243,6.074425890822994e-06,0.0006074425890822994
Aruba,2020-03-13,5279,2.0,0.0,2020-03-11T20:00:00,12.5211,-69.9683,,0.0,Aruba,106.766,1.8732555307869545e-05,0.0018732555307869544
Aruba,2020-03-14,5578,2.0,0.0,2020-03-13T23:53:03,12.5211,-69.9683,,0.0,Aruba,106.766,1.8732555307869545e-05,0.0018732555307869544
Australia,2020-01-23,80,,,1/23/20 17:00,,,,,Australia,25499.884,,
Australia,2020-01-25,166,4.0,,1/25/20 17:00,,,,,Australia,25499.884,1.5686345867298847e-07,1.5686345867298846e-05
Australia,2020-01-26,212,4.0,,1/26/20 16:00,,,,,Australia,25499.884,1.5686345867298847e-07,1.5686345867298846e-05
Australia,2020-01-27,265,4.0,,1/27/20 23:59,,,New South Wales,,Australia,25499.884,1.5686345867298847e-07,1.5686345867298846e-05
Australia,2020-01-27,266,1.0,,1/27/20 23:59,,,Victoria,,Australia,25499.884,3.921586466824712e-08,3.921586466824712e-06
Australia,2020-01-28,316,4.0,,1/28/20 23:00,,,New South Wales,,Australia,25499.884,1.5686345867298847e-07,1.5686345867298846e-05
Australia,2020-01-28,317,1.0,,1/28/20 23:00,,,Victoria,,Australia,25499.884,3.921586466824712e-08,3.921586466824712e-06
Australia,2020-01-29,368,4.0,,1/29/20 19:30,,,New South Wales,,Australia,25499.884,1.5686345867298847e-07,1.5686345867298846e-05
Australia,2020-01-29,369,1.0,,1/29/20 19:30,,,Victoria,,Australia,25499.884,3.921586466824712e-08,3.921586466824712e-06
Australia,2020-01-30,423,4.0,,1/30/20 16:00,,,New South Wales,2.0,Australia,25499.884,1.5686345867298847e-07,1.5686345867298846e-05
Australia,2020-01-30,424,2.0,,1/30/20 16:00,,,Victoria,,Australia,25499.884,7.843172933649423e-08,7.843172933649423e-06
Australia,2020-01-30,425,3.0,,1/30/20 16:00,,,Queensland,,Australia,25499.884,1.1764759400474135e-07,1.1764759400474136e-05
Australia,2020-01-31,472,4.0,,1/31/2020 23:59,,,New South Wales,2.0,Australia,25499.884,1.5686345867298847e-07,1.5686345867298846e-05
Australia,2020-01-31,474,3.0,,1/31/2020 23:59,,,Victoria,,Australia,25499.884,1.1764759400474135e-07,1.1764759400474136e-05
Australia,2020-01-31,479,2.0,,1/31/2020 23:59,,,Queensland,,Australia,25499.884,7.843172933649423e-08,7.843172933649423e-06
Australia,2020-02-01,534,4.0,0.0,2/1/2020 18:12,,,New South Wales,2.0,Australia,25499.884,1.5686345867298847e-07,1.5686345867298846e-05
Australia,2020-02-01,535,4.0,0.0,2/1/2020 18:12,,,Victoria,0.0,Australia,25499.884,1.5686345867298847e-07,1.5686345867298846e-05
Australia,2020-02-01,537,3.0,0.0,2/1/2020 18:12,,,Queensland,0.0,Australia,25499.884,1.1764759400474135e-07,1.1764759400474136e-05
Australia,2020-02-01,543,1.0,0.0,2/1/2020 18:12,,,South Australia,0.0,Australia,25499.884,3.921586466824712e-08,3.921586466824712e-06
Australia,2020-02-02,602,4.0,0.0,2020-02-01T18:12:49,,,New South Wales,2.0,Australia,25499.884,1.5686345867298847e-07,1.5686345867298846e-05
Australia,2020-02-02,603,4.0,0.0,2020-02-01T18:12:49,,,Victoria,0.0,Australia,25499.884,1.5686345867298847e-07,1.5686345867298846e-05
Australia,2020-02-02,605,2.0,0.0,2020-02-02T22:33:07,,,Queensland,0.0,Australia,25499.884,7.843172933649423e-08,7.843172933649423e-06
Australia,2020-02-02,606,2.0,0.0,2020-02-02T22:33:07,,,South Australia,0.0,Australia,25499.884,7.843172933649423e-08,7.843172933649423e-06
Australia,2020-02-03,669,4.0,0.0,2020-02-01T18:12:49,,,New South Wales,2.0,Australia,25499.884,1.5686345867298847e-07,1.5686345867298846e-05
Australia,2020-02-03,670,4.0,0.0,2020-02-01T18:12:49,,,Victoria,0.0,Australia,25499.884,1.5686345867298847e-07,1.5686345867298846e-05
Australia,2020-02-03,673,2.0,0.0,2020-02-02T22:33:07,,,Queensland,0.0,Australia,25499.884,7.843172933649423e-08,7.843172933649423e-06
Australia,2020-02-03,674,2.0,0.0,2020-02-02T22:33:07,,,South Australia,0.0,Australia,25499.884,7.843172933649423e-08,7.843172933649423e-06
Australia,2020-02-04,737,4.0,0.0,2020-02-01T18:12:49,,,New South Wales,2.0,Australia,25499.884,1.5686345867298847e-07,1.5686345867298846e-05
Australia,2020-02-04,738,4.0,0.0,2020-02-01T18:12:49,,,Victoria,0.0,Australia,25499.884,1.5686345867298847e-07,1.5686345867298846e-05
Australia,2020-02-04,739,3.0,0.0,2020-02-04T16:53:03,,,Queensland,0.0,Australia,25499.884,1.1764759400474135e-07,1.1764759400474136e-05
Australia,2020-02-04,741,2.0,0.0,2020-02-02T22:33:07,,,South Australia,0.0,Australia,25499.884,7.843172933649423e-08,7.843172933649423e-06
Australia,2020-02-05,807,4.0,0.0,2020-02-01T18:12:49,,,New South Wales,2.0,Australia,25499.884,1.5686345867298847e-07,1.5686345867298846e-05
Australia,2020-02-05,808,4.0,0.0,2020-02-01T18:12:49,,,Victoria,0.0,Australia,25499.884,1.5686345867298847e-07,1.5686345867298846e-05
Australia,2020-02-05,809,3.0,0.0,2020-02-04T16:53:03,,,Queensland,0.0,Australia,25499.884,1.1764759400474135e-07,1.1764759400474136e-05
Australia,2020-02-05,811,2.0,0.0,2020-02-02T22:33:07,,,South Australia,0.0,Australia,25499.884,7.843172933649423e-08,7.843172933649423e-06
Australia,2020-02-06,878,4.0,0.0,2020-02-06T03:13:22,,,New South Wales,2.0,Australia,25499.884,1.5686345867298847e-07,1.5686345867298846e-05
Australia,2020-02-06,879,4.0,0.0,2020-02-06T02:53:03,,,Queensland,0.0,Australia,25499.884,1.5686345867298847e-07,1.5686345867298846e-05
Australia,2020-02-06,880,4.0,0.0,2020-02-01T18:12:49,,,Victoria,0.0,Australia,25499.884,1.5686345867298847e-07,1.5686345867298846e-05
Australia,2020-02-06,882,2.0,0.0,2020-02-02T22:33:07,,,South Australia,0.0,Australia,25499.884,7.843172933649423e-08,7.843172933649423e-06
Australia,2020-02-07,949,5.0,0.0,2020-02-07T01:03:02,,,Queensland,0.0,Australia,25499.884,1.9607932334123559e-07,1.9607932334123557e-05
Australia,2020-02-07,951,4.0,0.0,2020-02-06T03:13:22,,,New South Wales,2.0,Australia,25499.884,1.5686345867298847e-07,1.5686345867298846e-05
Australia,2020-02-07,952,4.0,0.0,2020-02-01T18:12:49,,,Victoria,0.0,Australia,25499.884,1.5686345867298847e-07,1.5686345867298846e-05
Australia,2020-02-07,958,2.0,0.0,2020-02-02T22:33:07,,,South Australia,0.0,Australia,25499.884,7.843172933649423e-08,7.843172933649423e-06
Australia,2020-02-08,1022,5.0,0.0,2020-02-07T01:03:02,,,Queensland,0.0,Australia,25499.884,1.9607932334123559e-07,1.9607932334123557e-05
Australia,2020-02-08,1023,4.0,0.0,2020-02-06T03:13:22,,,New South Wales,2.0,Australia,25499.884,1.5686345867298847e-07,1.5686345867298846e-05
Australia,2020-02-08,1024,4.0,0.0,2020-02-01T18:12:49,,,Victoria,0.0,Australia,25499.884,1.5686345867298847e-07,1.5686345867298846e-05
Australia,2020-02-08,1030,2.0,0.0,2020-02-02T22:33:07,,,South Australia,0.0,Australia,25499.884,7.843172933649423e-08,7.843172933649423e-06
Australia,2020-02-09,1094,5.0,0.0,2020-02-09T19:33:02,,,Queensland,0.0,Australia,25499.884,1.9607932334123559e-07,1.9607932334123557e-05
Australia,2020-02-09,1095,4.0,0.0,2020-02-06T03:13:22,,,New South Wales,2.0,Australia,25499.884,1.5686345867298847e-07,1.5686345867298846e-05
Australia,2020-02-09,1096,4.0,0.0,2020-02-01T18:12:49,,,Victoria,0.0,Australia,25499.884,1.5686345867298847e-07,1.5686345867298846e-05
Australia,2020-02-09,1102,2.0,0.0,2020-02-02T22:33:07,,,South Australia,0.0,Australia,25499.884,7.843172933649423e-08,7.843172933649423e-06
Australia,2020-02-10,1167,5.0,0.0,2020-02-09T19:33:02,,,Queensland,0.0,Australia,25499.884,1.9607932334123559e-07,1.9607932334123557e-05
Australia,2020-02-10,1168,4.0,0.0,2020-02-06T03:13:22,,,New South Wales,2.0,Australia,25499.884,1.5686345867298847e-07,1.5686345867298846e-05
Australia,2020-02-10,1169,4.0,0.0,2020-02-01T18:12:49,,,Victoria,0.0,Australia,25499.884,1.5686345867298847e-07,1.5686345867298846e-05
Australia,2020-02-10,1174,2.0,0.0,2020-02-02T22:33:07,,,South Australia,0.0,Australia,25499.884,7.843172933649423e-08,7.843172933649423e-06
Australia,2020-02-11,1239,5.0,0.0,2020-02-09T19:33:02,,,Queensland,0.0,Australia,25499.884,1.9607932334123559e-07,1.9607932334123557e-05
Australia,2020-02-11,1240,4.0,0.0,2020-02-06T03:13:22,,,New South Wales,2.0,Australia,25499.884,1.5686345867298847e-07,1.5686345867298846e-05
Australia,2020-02-11,1241,4.0,0.0,2020-02-01T18:12:49,,,Victoria,0.0,Australia,25499.884,1.5686345867298847e-07,1.5686345867298846e-05
Australia,2020-02-11,1246,2.0,0.0,2020-02-02T22:33:07,,,South Australia,0.0,Australia,25499.884,7.843172933649423e-08,7.843172933649423e-06
Australia,2020-02-12,1312,5.0,0.0,2020-02-09T19:33:02,,,Queensland,0.0,Australia,25499.884,1.9607932334123559e-07,1.9607932334123557e-05
Australia,2020-02-12,1313,4.0,0.0,2020-02-06T03:13:22,,,New South Wales,2.0,Australia,25499.884,1.5686345867298847e-07,1.5686345867298846e-05
Australia,2020-02-12,1314,4.0,0.0,2020-02-01T18:12:49,,,Victoria,0.0,Australia,25499.884,1.5686345867298847e-07,1.5686345867298846e-05
Australia,2020-02-12,1319,2.0,0.0,2020-02-02T22:33:07,,,South Australia,0.0,Australia,25499.884,7.843172933649423e-08,7.843172933649423e-06
Australia,2020-02-13,1385,5.0,0.0,2020-02-09T19:33:02,,,Queensland,0.0,Australia,25499.884,1.9607932334123559e-07,1.9607932334123557e-05
Australia,2020-02-13,1386,4.0,0.0,2020-02-13T17:53:03,,,New South Wales,4.0,Australia,25499.884,1.5686345867298847e-07,1.5686345867298846e-05
Australia,2020-02-13,1387,4.0,0.0,2020-02-13T17:53:03,,,Victoria,4.0,Australia,25499.884,1.5686345867298847e-07,1.5686345867298846e-05
Australia,2020-02-13,1392,2.0,0.0,2020-02-02T22:33:07,,,South Australia,0.0,Australia,25499.884,7.843172933649423e-08,7.843172933649423e-06
Australia,2020-02-14,1459,5.0,0.0,2020-02-09T19:33:02,,,Queensland,0.0,Australia,25499.884,1.9607932334123559e-07,1.9607932334123557e-05
Australia,2020-02-14,1460,4.0,0.0,2020-02-13T17:53:03,,,New South Wales,4.0,Australia,25499.884,1.5686345867298847e-07,1.5686345867298846e-05
Australia,2020-02-14,1461,4.0,0.0,2020-02-13T17:53:03,,,Victoria,4.0,Australia,25499.884,1.5686345867298847e-07,1.5686345867298846e-05
Australia,2020-02-14,1466,2.0,0.0,2020-02-02T22:33:07,,,South Australia,0.0,Australia,25499.884,7.843172933649423e-08,7.843172933649423e-06
Australia,2020-02-15,1534,5.0,0.0,2020-02-09T19:33:02,,,Queensland,0.0,Australia,25499.884,1.9607932334123559e-07,1.9607932334123557e-05
Australia,2020-02-15,1535,4.0,0.0,2020-02-13T17:53:03,,,New South Wales,4.0,Australia,25499.884,1.5686345867298847e-07,1.5686345867298846e-05
