country,date,Unnamed: 0,Confirmed,Deaths,Last Update,Latitude,Longitude,province,Recovered,name,pop2020,confirmed_percent,% Confirmed,confirmed_per_Thousand,mortality_percent,% Mortality,% Death,active,active_percent,% Active,active_per_Thousand,recovered_per_Thousand,recovered_percent,% Recovered,days1,days100
Mainland China,2020-02-20,1880,334.0,2.0,2020-02-20T06:03:03,,,Shanghai,199.0,Mainland China,1439323.7759999998,2.3205341672894035e-07,2.3205341672894034e-05,0.0002320534167289404,0.00598802395209581,0.5988023952095809,4.160303645325045e-10,135.0,9.379404568385315e-08,9.379404568385313e-06,9.379404568385312e-05,0.0001382593710450872,1.382593710450872e-07,1.382593710450872e-05,30,30 days 00:00:00.000000000
Mainland China,2020-02-20,1881,307.0,5.0,2020-02-20T11:13:27,,,Hebei,169.0,Mainland China,1439323.7759999998,2.132946075921697e-07,2.1329460759216973e-05,0.0002132946075921697,0.016286644951140062,1.6286644951140066,1.131548385617724e-09,138.0,9.5878357810161e-08,9.587835781016098e-06,9.587835781016097e-05,0.00011741624978200872,1.1741624978200874e-07,1.1741624978200875e-05,30,30 days 00:00:00.000000000
Mainland China,2020-02-20,1882,293.0,1.0,2020-02-20T12:23:02,,,Fujian,126.0,Mainland China,1439323.7759999998,2.0356781766939977e-07,2.0356781766939974e-05,0.00020356781766939976,0.0034129692832764505,0.3412969283276451,2.37123108794977e-10,167.0,1.1602670836447015e-07,1.1602670836447015e-05,0.00011602670836447017,8.754110930492959e-05,8.75411093049296e-08,8.754110930492959e-06,30,30 days 00:00:00.000000000
Mainland China,2020-02-20,1883,245.0,2.0,2020-02-20T09:43:01,,,Guangxi,90.0,Mainland China,1439323.7759999998,1.702188236484742e-07,1.7021882364847422e-05,0.0001702188236484742,0.00816326530612245,0.8163265306122449,5.671597622606387e-10,155.0,1.0768945985923881e-07,1.0768945985923876e-05,0.00010768945985923879,6.252936378923543e-05,6.252936378923543e-08,6.252936378923542e-06,30,30 days 00:00:00.000000000
Mainland China,2020-02-20,1884,245.0,1.0,2020-02-20T09:53:02,,,Shaanxi,118.0,Mainland China,1439323.7759999998,1.702188236484742e-07,1.7021882364847422e-05,0.0001702188236484742,0.004081632653061225,0.4081632653061225,2.8357988113031935e-10,127.0,8.823588001369886e-08,8.823588001369886e-06,8.823588001369886e-05,8.198294363477533e-05,8.198294363477534e-08,8.198294363477534e-06,30,30 days 00:00:00.000000000
Mainland China,2020-02-20,1885,174.0,2.0,2020-02-20T23:13:05,,,Yunnan,79.0,Mainland China,1439323.7759999998,1.2089010332585516e-07,1.2089010332585514e-05,0.00012089010332585514,0.011494252873563218,1.1494252873563218,7.985870215738878e-10,95.0,6.600321733308184e-08,6.600321733308184e-06,6.600321733308184e-05,5.4886885992773325e-05,5.488688599277332e-08,5.488688599277332e-06,30,30 days 00:00:00.000000000
Mainland China,2020-02-20,1886,168.0,4.0,2020-02-20T09:53:02,,,Hainan,86.0,Mainland China,1439323.7759999998,1.1672147907323947e-07,1.1672147907323946e-05,0.00011672147907323944,0.023809523809523808,2.380952380952381,1.6542159732601965e-09,82.0,5.6971198119081164e-08,5.697119811908118e-06,5.6971198119081166e-05,5.975028095415829e-05,5.97502809541583e-08,5.97502809541583e-06,30,30 days 00:00:00.000000000
Mainland China,2020-02-20,1887,146.0,2.0,2020-02-20T09:43:01,,,Guizhou,72.0,Mainland China,1439323.7759999998,1.0143652348031523e-07,1.0143652348031523e-05,0.00010143652348031523,0.0136986301369863,1.3698630136986298,9.517406969442224e-10,74.0,5.14130324489269e-08,5.14130324489269e-06,5.14130324489269e-05,5.002349103138834e-05,5.002349103138834e-08,5.002349103138833e-06,30,30 days 00:00:00.000000000
Mainland China,2020-02-20,1888,132.0,0.0,2020-02-20T23:13:05,,,Shanxi,76.0,Mainland China,1439323.7759999998,9.170973355754527e-08,9.170973355754531e-06,9.170973355754527e-05,0.0,0.0,0.0,56.0,3.890715969107982e-08,3.890715969107982e-06,3.8907159691079816e-05,5.280257386646547e-05,5.2802573866465464e-08,5.280257386646547e-06,30,30 days 00:00:00.000000000
Mainland China,2020-02-20,1889,131.0,3.0,2020-02-20T12:53:02,,,Tianjin,59.0,Mainland China,1439323.7759999998,9.1014962848776e-08,9.1014962848776e-06,9.1014962848776e-05,0.022900763358778626,2.2900763358778624,1.591077959013624e-09,72.0,5.002349103138834e-08,5.002349103138833e-06,5.002349103138834e-05,4.0991471817387664e-05,4.099147181738767e-08,4.099147181738767e-06,30,30 days 00:00:00.000000000
Mainland China,2020-02-20,1890,121.0,1.0,2020-02-20T06:23:02,,,Liaoning,59.0,Mainland China,1439323.7759999998,8.406725576108317e-08,8.406725576108318e-06,8.406725576108318e-05,0.008264462809917356,0.8264462809917356,5.741906684043658e-10,62.0,4.307578394369552e-08,4.307578394369551e-06,4.3075783943695506e-05,4.0991471817387664e-05,4.099147181738767e-08,4.099147181738767e-06,30,30 days 00:00:00.000000000
Mainland China,2020-02-21,1942,62662.0,2144.0,2020-02-21T13:03:09,,,Hubei,11881.0,Mainland China,1439323.7759999998,4.353572215290078e-05,0.004353572215290078,0.04353572215290078,0.03421531390635473,3.421531390635473,2.3771797893481564e-09,50781.0,3.5281151362012926e-05,0.003528115136201293,0.03528115136201293,0.008254570790887846,8.254570790887846e-06,0.0008254570790887847,31,31 days 00:00:00.000000000
Mainland China,2020-02-21,1943,1333.0,5.0,2020-02-21T10:13:09,,,Guangdong,690.0,Mainland China,1439323.7759999998,9.261293547894535e-07,9.261293547894537e-05,0.0009261293547894537,0.003750937734433608,0.3750937734433608,2.6060416683018845e-10,643.0,4.467375657386487e-07,4.467375657386487e-05,0.00044673756573864864,0.00047939178905080486,4.793917890508049e-07,4.7939178905080484e-05,31,31 days 00:00:00.000000000
Mainland China,2020-02-21,1944,1267.0,19.0,2020-02-21T13:43:02,,,Henan,736.0,Mainland China,1439323.7759999998,8.802744880106809e-07,8.802744880106809e-05,0.0008802744880106808,0.014996053670086818,1.499605367008682,1.041881883710842e-09,531.0,3.68923246356489e-07,3.68923246356489e-05,0.00036892324635648903,0.0005113512416541919,5.113512416541921e-07,5.11351241654192e-05,31,31 days 00:00:00.000000000
Mainland China,2020-02-21,1945,1203.0,1.0,2020-02-21T10:23:02,,,Zhejiang,679.0,Mainland China,1439323.7759999998,8.358091626494468e-07,8.358091626494468e-05,0.0008358091626494468,0.0008312551953449709,0.0831255195344971,5.775317612379738e-11,524.0,3.64059851395104e-07,3.64059851395104e-05,0.000364059851395104,0.00047174931125434276,4.7174931125434283e-07,4.7174931125434276e-05,31,31 days 00:00:00.000000000
Mainland China,2020-02-21,1946,1011.0,4.0,2020-02-21T15:13:07,,,Hunan,661.0,Mainland China,1439323.7759999998,7.024131865657447e-07,7.024131865657447e-05,0.0007024131865657447,0.003956478733926805,0.3956478733926805,2.7488455342009197e-10,350.0,2.431697480692489e-07,2.431697480692489e-05,0.00024316974806924888,0.0004592434384964957,4.592434384964957e-07,4.592434384964958e-05,31,31 days 00:00:00.000000000
Mainland China,2020-02-21,1947,988.0,6.0,2020-02-21T10:13:09,,,Anhui,539.0,Mainland China,1439323.7759999998,6.86433460264051e-07,6.86433460264051e-05,0.0006864334602640511,0.006072874493927126,0.6072874493927125,4.2192553164126473e-10,449.0,3.119520482374078e-07,3.1195204823740775e-05,0.0003119520482374078,0.0003744814120266432,3.7448141202664325e-07,3.744814120266433e-05,31,31 days 00:00:00.000000000
Mainland China,2020-02-21,1948,934.0,1.0,2020-02-21T01:13:05,,,Jiangxi,489.0,Mainland China,1439323.7759999998,6.489158419905099e-07,6.489158419905099e-05,0.0006489158419905098,0.0010706638115631694,0.10706638115631692,7.438658552133646e-11,445.0,3.0917296540233066e-07,3.0917296540233066e-05,0.00030917296540233064,0.00033974287658817913,3.3974287658817915e-07,3.3974287658817905e-05,31,31 days 00:00:00.000000000
Mainland China,2020-02-21,1949,749.0,4.0,2020-02-21T10:23:02,,,Shandong,281.0,Mainland China,1439323.7759999998,5.203832608681924e-07,5.203832608681926e-05,0.0005203832608681925,0.0053404539385847796,0.5340453938584779,3.710390968060253e-10,468.0,3.2515269170402424e-07,3.2515269170402414e-05,0.0003251526917040242,0.00019523056916416842,1.952305691641684e-07,1.952305691641684e-05,31,31 days 00:00:00.000000000
Mainland China,2020-02-21,1951,631.0,0.0,2020-02-21T11:43:01,,,Jiangsu,373.0,Mainland China,1439323.7759999998,4.3840031723341723e-07,4.384003172334172e-05,0.0004384003172334173,0.0,0.0,0.0,258.0,1.792508428624749e-07,1.7925084286247488e-05,0.00017925084286247488,0.0002591494743709424,2.591494743709424e-07,2.5914947437094242e-05,31,31 days 00:00:00.000000000
Mainland China,2020-02-21,1952,572.0,6.0,2020-02-21T23:13:14,,,Chongqing,316.0,Mainland China,1439323.7759999998,3.974088454160296e-07,3.974088454160296e-05,0.00039740884541602964,0.01048951048951049,1.048951048951049,7.287804637440026e-10,256.0,1.778613014449363e-07,1.778613014449363e-05,0.0001778613014449363,0.0002195475439710933,2.1954754397109327e-07,2.1954754397109326e-05,31,31 days 00:00:00.000000000
Mainland China,2020-02-21,1953,525.0,3.0,2020-02-21T12:53:01,,,Sichuan,231.0,Mainland China,1439323.7759999998,3.647546221038733e-07,3.647546221038733e-05,0.0003647546221038733,0.005714285714285714,0.5714285714285714,3.970118335824472e-10,294.0,2.0426258837816905e-07,2.0426258837816907e-05,0.00020426258837816905,0.00016049203372570426,1.6049203372570426e-07,1.6049203372570427e-05,31,31 days 00:00:00.000000000
Mainland China,2020-02-21,1954,479.0,12.0,2020-02-21T11:43:01,,,Heilongjiang,175.0,Mainland China,1439323.7759999998,3.3279516950048627e-07,3.3279516950048636e-05,0.00033279516950048633,0.025052192066805846,2.5052192066805845,1.7405529238478892e-09,304.0,2.1121029546586186e-07,2.112102954658619e-05,0.00021121029546586188,0.00012158487403462444,1.2158487403462446e-07,1.2158487403462445e-05,31,31 days 00:00:00.000000000
Mainland China,2020-02-21,1955,396.0,4.0,2020-02-21T01:03:09,,,Beijing,169.0,Mainland China,1439323.7759999998,2.7512920067263586e-07,2.751292006726359e-05,0.00027512920067263583,0.010101010101010102,1.0101010101010102,7.017885947164471e-10,227.0,1.5771295089062712e-07,1.577129508906271e-05,0.00015771295089062713,0.00011741624978200872,1.1741624978200874e-07,1.1741624978200875e-05,31,31 days 00:00:00.000000000
Mainland China,2020-02-21,1956,334.0,2.0,2020-02-21T05:53:01,,,Shanghai,211.0,Mainland China,1439323.7759999998,2.3205341672894035e-07,2.3205341672894034e-05,0.0002320534167289404,0.00598802395209581,0.5988023952095809,4.160303645325045e-10,123.0,8.545679717862174e-08,8.545679717862177e-06,8.545679717862174e-05,0.0001465966195503186,1.465966195503186e-07,1.465966195503186e-05,31,31 days 00:00:00.000000000
Mainland China,2020-02-21,1957,308.0,5.0,2020-02-21T12:53:01,,,Hebei,184.0,Mainland China,1439323.7759999998,2.1398937830093905e-07,2.1398937830093898e-05,0.00021398937830093898,0.016233766233766232,1.6233766233766231,1.1278745272228611e-09,124.0,8.615156788739103e-08,8.615156788739103e-06,8.615156788739101e-05,0.00012783781041354799,1.2783781041354802e-07,1.27837810413548e-05,31,31 days 00:00:00.000000000
Mainland China,2020-02-21,1958,293.0,1.0,2020-02-21T11:43:01,,,Fujian,149.0,Mainland China,1439323.7759999998,2.0356781766939977e-07,2.0356781766939974e-05,0.00020356781766939976,0.0034129692832764505,0.3412969283276451,2.37123108794977e-10,144.0,1.0004698206277668e-07,1.0004698206277666e-05,0.00010004698206277668,0.00010352083560662308,1.0352083560662311e-07,1.035208356066231e-05,31,31 days 00:00:00.000000000
Mainland China,2020-02-21,1959,246.0,2.0,2020-02-21T11:43:01,,,Guangxi,97.0,Mainland China,1439323.7759999998,1.7091359435724348e-07,1.709135943572435e-05,0.00017091359435724348,0.008130081300813009,0.8130081300813009,5.648542347717745e-10,149.0,1.0352083560662311e-07,1.035208356066231e-05,0.00010352083560662308,6.739275875062039e-05,6.73927587506204e-08,6.73927587506204e-06,31,31 days 00:00:00.000000000
