country,date,Unnamed: 0,Confirmed,Deaths,Last Update,Latitude,Longitude,province,Recovered,name,pop2020,confirmed_percent,% Confirmed,days100
China,2020-03-12,4984,125.0,1.0,2020-03-12T09:53:06,41.2956,122.6085,Liaoning,112.0,,,,,2
China,2020-03-13,5153,67786.0,3062.0,2020-03-13T11:09:03,30.9756,112.2707,Hubei,51553.0,,,,,3
China,2020-03-13,5154,1356.0,8.0,2020-03-13T11:09:03,23.3417,113.4244,Guangdong,1296.0,,,,,3
China,2020-03-13,5155,1273.0,22.0,2020-03-11T08:13:09,33.882,113.61399999999999,Henan,1249.0,,,,,3
China,2020-03-13,5156,1215.0,1.0,2020-03-12T01:33:02,29.1832,120.0934,Zhejiang,1197.0,,,,,3
China,2020-03-13,5157,1018.0,4.0,2020-03-13T11:09:03,27.6104,111.7088,Hunan,1005.0,,,,,3
China,2020-03-13,5158,990.0,6.0,2020-03-11T02:18:14,31.8257,117.2264,Anhui,984.0,,,,,3
China,2020-03-13,5159,935.0,1.0,2020-03-12T02:13:04,27.614,115.7221,Jiangxi,934.0,,,,,3
China,2020-03-13,5160,760.0,7.0,2020-03-13T11:09:03,36.3427,118.1498,Shandong,739.0,,,,,3
China,2020-03-13,5161,631.0,0.0,2020-03-13T11:09:03,32.9711,119.455,Jiangsu,630.0,,,,,3
China,2020-03-13,5162,576.0,6.0,2020-03-13T23:13:12,30.0572,107.874,Chongqing,566.0,,,,,3
China,2020-03-13,5163,539.0,3.0,2020-03-13T11:09:03,30.6171,102.7103,Sichuan,503.0,,,,,3
China,2020-03-13,5164,482.0,13.0,2020-03-13T11:09:03,47.861999999999995,127.7615,Heilongjiang,446.0,,,,,3
China,2020-03-13,5165,436.0,8.0,2020-03-13T11:09:03,40.1824,116.4142,Beijing,342.0,,,,,3
China,2020-03-13,5166,346.0,3.0,2020-03-13T11:09:03,31.201999999999998,121.4491,Shanghai,324.0,,,,,3
China,2020-03-13,5167,318.0,6.0,2020-03-13T11:09:03,38.0428,114.5149,Hebei,310.0,,,,,3
China,2020-03-13,5168,296.0,1.0,2020-03-11T02:18:14,26.0789,117.9874,Fujian,295.0,,,,,3
China,2020-03-13,5169,252.0,2.0,2020-03-13T11:09:03,23.8298,108.7881,Guangxi,243.0,,,,,3
China,2020-03-13,5170,245.0,2.0,2020-03-12T01:33:02,35.1917,108.8701,Shaanxi,232.0,,,,,3
China,2020-03-13,5171,174.0,2.0,2020-03-11T02:18:14,24.974,101.48700000000001,Yunnan,170.0,,,,,3
China,2020-03-13,5172,168.0,6.0,2020-03-12T03:53:02,19.1959,109.7453,Hainan,160.0,,,,,3
China,2020-03-13,5173,146.0,2.0,2020-03-13T11:09:03,26.8154,106.8748,Guizhou,140.0,,,,,3
China,2020-03-13,5174,136.0,3.0,2020-03-12T01:53:03,39.3054,117.323,Tianjin,132.0,,,,,3
China,2020-03-13,5175,134.0,4.0,2020-03-13T13:33:03,22.3,114.2,Hong Kong,77.0,,,,,3
China,2020-03-13,5176,133.0,0.0,2020-03-13T11:09:03,37.5777,112.2922,Shanxi,133.0,,,,,3
China,2020-03-13,5177,127.0,2.0,2020-03-13T11:09:03,36.0611,103.8343,Gansu,88.0,,,,,3
China,2020-03-13,5178,125.0,1.0,2020-03-12T09:53:06,41.2956,122.6085,Liaoning,112.0,,,,,3
China,2020-03-14,5383,67790.0,3075.0,2020-03-14T10:13:09,30.9756,112.2707,Hubei,52960.0,,,,,4
China,2020-03-14,5391,1356.0,8.0,2020-03-14T01:13:11,23.3417,113.4244,Guangdong,1299.0,,,,,4
China,2020-03-14,5392,1273.0,22.0,2020-03-14T09:53:08,33.882,113.614,Henan,1250.0,,,,,4
China,2020-03-14,5393,1227.0,1.0,2020-03-14T02:14:15,29.1832,120.0934,Zhejiang,1211.0,,,,,4
China,2020-03-14,5396,1018.0,4.0,2020-03-14T08:33:03,27.6104,111.7088,Hunan,1014.0,,,,,4
China,2020-03-14,5397,990.0,6.0,2020-03-11T02:18:14,31.8257,117.2264,Anhui,984.0,,,,,4
China,2020-03-14,5400,935.0,1.0,2020-03-12T02:13:04,27.614,115.7221,Jiangxi,934.0,,,,,4
China,2020-03-14,5403,760.0,7.0,2020-03-14T04:33:02,36.3427,118.1498,Shandong,741.0,,,,,4
China,2020-03-14,5407,631.0,0.0,2020-03-13T11:09:03,32.9711,119.455,Jiangsu,630.0,,,,,4
China,2020-03-14,5408,576.0,6.0,2020-03-14T23:53:02,30.0572,107.874,Chongqing,569.0,,,,,4
China,2020-03-14,5410,539.0,3.0,2020-03-14T04:33:02,30.6171,102.7103,Sichuan,511.0,,,,,4
China,2020-03-14,5412,482.0,13.0,2020-03-14T00:13:05,47.862,127.7615,Heilongjiang,447.0,,,,,4
China,2020-03-14,5413,437.0,8.0,2020-03-14T02:13:47,40.1824,116.4142,Beijing,349.0,,,,,4
China,2020-03-14,5414,353.0,3.0,2020-03-14T23:53:02,31.202,121.4491,Shanghai,324.0,,,,,4
China,2020-03-14,5417,318.0,6.0,2020-03-13T11:09:03,38.0428,114.5149,Hebei,310.0,,,,,4
China,2020-03-14,5418,296.0,1.0,2020-03-11T02:18:14,26.0789,117.9874,Fujian,295.0,,,,,4
China,2020-03-14,5419,252.0,2.0,2020-03-13T11:09:03,23.8298,108.7881,Guangxi,243.0,,,,,4
China,2020-03-14,5420,245.0,2.0,2020-03-12T01:33:02,35.1917,108.8701,Shaanxi,232.0,,,,,4
China,2020-03-14,5429,174.0,2.0,2020-03-14T23:33:02,24.974,101.487,Yunnan,172.0,,,,,4
China,2020-03-14,5431,168.0,6.0,2020-03-12T03:53:02,19.1959,109.7453,Hainan,160.0,,,,,4
China,2020-03-14,5434,146.0,2.0,2020-03-14T00:53:03,26.8154,106.8748,Guizhou,143.0,,,,,4
China,2020-03-14,5435,140.0,4.0,2020-03-14T12:53:06,22.3,114.2,Hong Kong,78.0,,,,,4
China,2020-03-14,5437,136.0,3.0,2020-03-12T01:53:03,39.3054,117.323,Tianjin,132.0,,,,,4
China,2020-03-14,5438,133.0,0.0,2020-03-13T11:09:03,37.5777,112.2922,Shanxi,133.0,,,,,4
China,2020-03-14,5439,129.0,2.0,2020-03-14T03:13:08,36.0611,103.8343,Gansu,89.0,,,,,4
China,2020-03-14,5441,125.0,1.0,2020-03-14T00:13:05,41.2956,122.6085,Liaoning,113.0,,,,,4
Cruise Ship,2020-03-11,4733,696.0,7.0,2020-03-11T22:13:12,35.4437,139.638,Diamond Princess,325.0,,,,,1
Cruise Ship,2020-03-12,4950,696.0,7.0,2020-03-11T22:13:12,35.4437,139.638,Diamond Princess,325.0,,,,,2
Cruise Ship,2020-03-13,5213,696.0,7.0,2020-03-11T20:00:00,35.4498,139.6649,Diamond Princess,325.0,,,,,3
Cruise Ship,2020-03-14,5404,696.0,7.0,2020-03-13T14:13:25,35.4498,139.6649,Diamond Princess,325.0,,,,,4
Czechia,2020-03-13,5256,141.0,0.0,2020-03-11T20:00:00,49.8175,15.472999999999999,,0.0,,,,,1
Czechia,2020-03-14,5427,189.0,0.0,2020-03-14T20:13:16,49.8175,15.473,,0.0,,,,,2
Denmark,2020-03-10,4544,262.0,0.0,2020-03-10T17:33:34,56.2639,9.5018,,1.0,Denmark,5792.201999999999,4.523322908973134e-05,0.004523322908973134,1
Denmark,2020-03-11,4744,442.0,0.0,2020-03-11T22:13:13,56.2639,9.5018,Denmark,1.0,Denmark,5792.201999999999,7.630949334985209e-05,0.007630949334985209,2
