,date,country,Confirmed,Deaths,Recovered,name,pop2020,PercentOfPopulationConfirmedDecimal,PercentOfPopulationConfirmed,MortalityDecimal,MortalityPercent,active,PercentOfPopulationActiveDecimal,PercentOfPopulationActive,PercentOfPopulationRecoveredDecimal,PercentOfPopulationRecovered
72,2020-01-27,Mainland China,2863.0,82.0,58.0,Mainland China,1439323.776,1.989128539206456e-06,0.00019891285392064557,0.028641285365001747,2.8641285365001745,2805.0,1.9488318380978373e-06,0.00019891285392064557,4.0296701108618384e-08,4.029670110861838e-06
73,2020-01-27,Malaysia,4.0,0.0,0.0,Malaysia,32365.999,1.2358648345753208e-07,1.2358648345753208e-05,0.0,0.0,4.0,1.2358648345753208e-07,1.2358648345753208e-05,0.0,0.0
74,2020-01-27,Nepal,1.0,0.0,0.0,Nepal,29136.808,3.4320849421803517e-08,3.4320849421803515e-06,0.0,0.0,1.0,3.4320849421803517e-08,3.4320849421803515e-06,0.0,0.0
75,2020-01-27,Singapore,5.0,0.0,0.0,Singapore,5850.342,8.546508904949489e-07,8.546508904949489e-05,0.0,0.0,5.0,8.546508904949489e-07,8.546508904949489e-05,0.0,0.0
76,2020-01-27,South Korea,4.0,0.0,0.0,South Korea,51269.185,7.80195745261018e-08,7.80195745261018e-06,0.0,0.0,4.0,7.80195745261018e-08,7.80195745261018e-06,0.0,0.0
77,2020-01-27,Sri Lanka,1.0,0.0,0.0,Sri Lanka,21413.249,4.6700059388465526e-08,4.670005938846553e-06,0.0,0.0,1.0,4.6700059388465526e-08,4.670005938846553e-06,0.0,0.0
78,2020-01-27,Taiwan,5.0,0.0,0.0,Taiwan,23816.775,2.099360639717174e-07,2.099360639717174e-05,0.0,0.0,5.0,2.099360639717174e-07,2.099360639717174e-05,0.0,0.0
79,2020-01-27,Thailand,8.0,0.0,2.0,Thailand,69799.978,1.1461321664026885e-07,1.1461321664026885e-05,0.0,0.0,6.0,8.595991248020165e-08,1.1461321664026885e-05,2.8653304160067214e-08,2.8653304160067213e-06
80,2020-01-27,US,5.0,0.0,0.0,US,331002.651,1.5105619199406353e-08,1.5105619199406354e-06,0.0,0.0,5.0,1.5105619199406353e-08,1.5105619199406354e-06,0.0,0.0
81,2020-01-27,Vietnam,2.0,0.0,0.0,Vietnam,97338.579,2.0546837857577518e-08,2.054683785757752e-06,0.0,0.0,2.0,2.0546837857577518e-08,2.054683785757752e-06,0.0,0.0
82,2020-01-28,Australia,5.0,0.0,0.0,Australia,25499.884,1.9607932334123559e-07,1.9607932334123557e-05,0.0,0.0,5.0,1.9607932334123559e-07,1.9607932334123557e-05,0.0,0.0
83,2020-01-28,Cambodia,1.0,0.0,0.0,Cambodia,16718.965,5.981231493695932e-08,5.981231493695932e-06,0.0,0.0,1.0,5.981231493695932e-08,5.981231493695932e-06,0.0,0.0
84,2020-01-28,Canada,2.0,0.0,0.0,Canada,37742.154,5.2991146186304044e-08,5.299114618630404e-06,0.0,0.0,2.0,5.2991146186304044e-08,5.299114618630404e-06,0.0,0.0
85,2020-01-28,France,4.0,0.0,0.0,France,65273.511,6.128060125339359e-08,6.128060125339359e-06,0.0,0.0,4.0,6.128060125339359e-08,6.128060125339359e-06,0.0,0.0
86,2020-01-28,Germany,4.0,0.0,0.0,Germany,83783.942,4.774184532878627e-08,4.7741845328786275e-06,0.0,0.0,4.0,4.774184532878627e-08,4.7741845328786275e-06,0.0,0.0
87,2020-01-28,Hong Kong,8.0,0.0,0.0,Hong Kong,7496.981,1.0670962084604456e-06,0.00010670962084604455,0.0,0.0,8.0,1.0670962084604456e-06,0.00010670962084604455,0.0,0.0
88,2020-01-28,Japan,7.0,0.0,1.0,Japan,126476.461,5.534626716033745e-08,5.534626716033744e-06,0.0,0.0,6.0,4.743965756600353e-08,5.534626716033744e-06,7.906609594333921e-09,7.906609594333921e-07
89,2020-01-28,Macau,7.0,0.0,0.0,Macau,649.335,1.0780259804261282e-05,0.0010780259804261281,0.0,0.0,7.0,1.0780259804261282e-05,0.0010780259804261281,0.0,0.0
90,2020-01-28,Mainland China,5494.0,131.0,101.0,Mainland China,1439323.776,3.817070273978438e-06,0.00038170702739784377,0.023844193665817255,2.3844193665817257,5393.0,3.7468984323927407e-06,0.00038170702739784377,7.017184158569753e-08,7.017184158569753e-06
91,2020-01-28,Malaysia,4.0,0.0,0.0,Malaysia,32365.999,1.2358648345753208e-07,1.2358648345753208e-05,0.0,0.0,4.0,1.2358648345753208e-07,1.2358648345753208e-05,0.0,0.0
