country,date,Unnamed: 0,Confirmed,Deaths,Recovered,name,pop2020,PercentOfPopulationConfirmedDecimal,PercentOfPopulationConfirmed,MortalityDecimal,MortalityPercent,active,PercentOfPopulationActiveDecimal,PercentOfPopulationActive,PercentOfPopulationRecoveredDecimal,PercentOfPopulationRecovered,days1
Guyana,2020-03-15,2648,4.0,1.0,0.0,Guyana,786.552,5.085487037093541e-06,0.0005085487037093542,0.25,25.0,4.0,5.085487037093541e-06,0.0005085487037093542,0.0,0.0,4
Holy See,2020-03-10,2014,1.0,0.0,0.0,,,,,0.0,0.0,1.0,,,,,1
Holy See,2020-03-11,2131,1.0,0.0,0.0,,,,,0.0,0.0,1.0,,,,,2
Holy See,2020-03-12,2249,1.0,0.0,0.0,,,,,0.0,0.0,1.0,,,,,3
Holy See,2020-03-13,2373,1.0,0.0,0.0,,,,,0.0,0.0,1.0,,,,,4
Holy See,2020-03-14,2504,1.0,0.0,0.0,,,,,0.0,0.0,1.0,,,,,5
Holy See,2020-03-15,2649,1.0,0.0,0.0,,,,,0.0,0.0,1.0,,,,,6
Honduras,2020-03-11,2132,2.0,0.0,0.0,Honduras,9904.607,2.0192623493289536e-07,2.0192623493289532e-05,0.0,0.0,2.0,2.0192623493289536e-07,2.0192623493289532e-05,0.0,0.0,1
Honduras,2020-03-12,2250,2.0,0.0,0.0,Honduras,9904.607,2.0192623493289536e-07,2.0192623493289532e-05,0.0,0.0,2.0,2.0192623493289536e-07,2.0192623493289532e-05,0.0,0.0,2
Honduras,2020-03-13,2374,2.0,0.0,0.0,Honduras,9904.607,2.0192623493289536e-07,2.0192623493289532e-05,0.0,0.0,2.0,2.0192623493289536e-07,2.0192623493289532e-05,0.0,0.0,3
Honduras,2020-03-14,2505,2.0,0.0,0.0,Honduras,9904.607,2.0192623493289536e-07,2.0192623493289532e-05,0.0,0.0,2.0,2.0192623493289536e-07,2.0192623493289532e-05,0.0,0.0,4
Honduras,2020-03-15,2650,3.0,0.0,0.0,Honduras,9904.607,3.028893523993431e-07,3.0288935239934306e-05,0.0,0.0,3.0,3.028893523993431e-07,3.0288935239934306e-05,0.0,0.0,5
Hong Kong,2020-01-23,11,2.0,0.0,0.0,Hong Kong,7496.981,2.667740521151114e-07,2.6677405211511137e-05,0.0,0.0,2.0,2.667740521151114e-07,2.6677405211511137e-05,0.0,0.0,1
Hong Kong,2020-01-24,25,2.0,0.0,0.0,Hong Kong,7496.981,2.667740521151114e-07,2.6677405211511137e-05,0.0,0.0,2.0,2.667740521151114e-07,2.6677405211511137e-05,0.0,0.0,2
Hong Kong,2020-01-25,37,5.0,0.0,0.0,Hong Kong,7496.981,6.669351302877785e-07,6.669351302877785e-05,0.0,0.0,5.0,6.669351302877785e-07,6.669351302877785e-05,0.0,0.0,3
Hong Kong,2020-01-26,52,8.0,0.0,0.0,Hong Kong,7496.981,1.0670962084604456e-06,0.00010670962084604456,0.0,0.0,8.0,1.0670962084604456e-06,0.00010670962084604456,0.0,0.0,4
Hong Kong,2020-01-27,68,8.0,0.0,0.0,Hong Kong,7496.981,1.0670962084604456e-06,0.00010670962084604456,0.0,0.0,8.0,1.0670962084604456e-06,0.00010670962084604456,0.0,0.0,5
Hong Kong,2020-01-28,87,8.0,0.0,0.0,Hong Kong,7496.981,1.0670962084604456e-06,0.00010670962084604456,0.0,0.0,8.0,1.0670962084604456e-06,0.00010670962084604456,0.0,0.0,6
Hong Kong,2020-01-29,106,10.0,0.0,0.0,Hong Kong,7496.981,1.333870260575557e-06,0.00013338702605755572,0.0,0.0,10.0,1.333870260575557e-06,0.00013338702605755572,0.0,0.0,7
Hong Kong,2020-01-30,126,10.0,0.0,0.0,Hong Kong,7496.981,1.333870260575557e-06,0.00013338702605755572,0.0,0.0,10.0,1.333870260575557e-06,0.00013338702605755572,0.0,0.0,8
Hong Kong,2020-01-31,148,12.0,0.0,0.0,Hong Kong,7496.981,1.6006443126906685e-06,0.00016006443126906684,0.0,0.0,12.0,1.6006443126906685e-06,0.00016006443126906684,0.0,0.0,9
Hong Kong,2020-02-01,174,13.0,0.0,0.0,Hong Kong,7496.981,1.7340313387482238e-06,0.00017340313387482242,0.0,0.0,13.0,1.7340313387482238e-06,0.00017340313387482242,0.0,0.0,10
Hong Kong,2020-02-02,201,15.0,0.0,0.0,Hong Kong,7496.981,2.0008053908633356e-06,0.0002000805390863336,0.0,0.0,15.0,2.0008053908633356e-06,0.0002000805390863336,0.0,0.0,11
Hong Kong,2020-02-03,228,15.0,0.0,0.0,Hong Kong,7496.981,2.0008053908633356e-06,0.0002000805390863336,0.0,0.0,15.0,2.0008053908633356e-06,0.0002000805390863336,0.0,0.0,12
Hong Kong,2020-02-04,256,17.0,1.0,0.0,Hong Kong,7496.981,2.267579442978447e-06,0.00022675794429784468,0.05882352941176471,5.882352941176469,17.0,2.267579442978447e-06,0.00022675794429784468,0.0,0.0,13
Hong Kong,2020-02-05,284,21.0,1.0,0.0,Hong Kong,7496.981,2.8011275472086698e-06,0.00028011275472086697,0.047619047619047616,4.761904761904762,21.0,2.8011275472086698e-06,0.00028011275472086697,0.0,0.0,14
Hong Kong,2020-02-06,312,24.0,1.0,0.0,Hong Kong,7496.981,3.201288625381337e-06,0.00032012886253813367,0.04166666666666666,4.166666666666666,24.0,3.201288625381337e-06,0.00032012886253813367,0.0,0.0,15
Hong Kong,2020-02-07,340,25.0,1.0,0.0,Hong Kong,7496.981,3.3346756514388926e-06,0.00033346756514388926,0.04,4.0,25.0,3.3346756514388926e-06,0.00033346756514388926,0.0,0.0,16
Hong Kong,2020-02-08,369,26.0,1.0,0.0,Hong Kong,7496.981,3.4680626774964476e-06,0.00034680626774964484,0.038461538461538464,3.8461538461538463,26.0,3.4680626774964476e-06,0.00034680626774964484,0.0,0.0,17
Hong Kong,2020-02-09,398,29.0,1.0,0.0,Hong Kong,7496.981,3.868223755669117e-06,0.0003868223755669116,0.03448275862068965,3.4482758620689653,29.0,3.868223755669117e-06,0.0003868223755669116,0.0,0.0,18
Hong Kong,2020-02-10,427,38.0,1.0,0.0,Hong Kong,7496.981,5.068706990187117e-06,0.0005068706990187117,0.02631578947368421,2.631578947368421,38.0,5.068706990187117e-06,0.0005068706990187117,0.0,0.0,19
Hong Kong,2020-02-11,456,49.0,1.0,0.0,Hong Kong,7496.981,6.5359642768202305e-06,0.0006535964276820228,0.020408163265306117,2.0408163265306123,49.0,6.5359642768202305e-06,0.0006535964276820228,0.0,0.0,20
Hong Kong,2020-02-12,485,50.0,1.0,1.0,Hong Kong,7496.981,6.669351302877785e-06,0.0006669351302877785,0.02,2.0,49.0,6.5359642768202305e-06,0.0006669351302877785,1.333870260575557e-07,1.3338702605755569e-05,21
Hong Kong,2020-02-13,514,53.0,1.0,1.0,Hong Kong,7496.981,7.069512381050453e-06,0.0007069512381050452,0.018867924528301886,1.8867924528301887,52.0,6.936125354992895e-06,0.0007069512381050452,1.333870260575557e-07,1.3338702605755569e-05,22
Hong Kong,2020-02-14,544,56.0,1.0,1.0,Hong Kong,7496.981,7.46967345922312e-06,0.0007469673459223119,0.017857142857142856,1.7857142857142856,55.0,7.3362864331655625e-06,0.0007469673459223119,1.333870260575557e-07,1.3338702605755569e-05,23
Hong Kong,2020-02-15,574,56.0,1.0,1.0,Hong Kong,7496.981,7.46967345922312e-06,0.0007469673459223119,0.017857142857142856,1.7857142857142856,55.0,7.3362864331655625e-06,0.0007469673459223119,1.333870260575557e-07,1.3338702605755569e-05,24
Hong Kong,2020-02-16,604,57.0,1.0,2.0,Hong Kong,7496.981,7.603060485280674e-06,0.0007603060485280675,0.017543859649122806,1.7543859649122806,55.0,7.3362864331655625e-06,0.0007603060485280675,2.667740521151114e-07,2.6677405211511137e-05,25
Hong Kong,2020-02-17,634,60.0,1.0,2.0,Hong Kong,7496.981,8.003221563453342e-06,0.0008003221563453343,0.016666666666666666,1.6666666666666667,58.0,7.736447511338233e-06,0.0008003221563453343,2.667740521151114e-07,2.6677405211511137e-05,26
Hong Kong,2020-02-18,664,62.0,1.0,2.0,Hong Kong,7496.981,8.269995615568452e-06,0.0008269995615568452,0.016129032258064516,1.6129032258064515,60.0,8.003221563453342e-06,0.0008269995615568452,2.667740521151114e-07,2.6677405211511137e-05,27
Hong Kong,2020-02-19,694,63.0,2.0,5.0,Hong Kong,7496.981,8.40338264162601e-06,0.000840338264162601,0.031746031746031744,3.1746031746031744,58.0,7.736447511338233e-06,0.000840338264162601,6.669351302877785e-07,6.669351302877785e-05,28
Hong Kong,2020-02-20,725,68.0,2.0,6.0,Hong Kong,7496.981,9.070317771913788e-06,0.0009070317771913787,0.029411764705882356,2.9411764705882346,62.0,8.269995615568452e-06,0.0009070317771913787,8.003221563453343e-07,8.003221563453342e-05,29
Hong Kong,2020-02-21,756,68.0,2.0,5.0,Hong Kong,7496.981,9.070317771913788e-06,0.0009070317771913787,0.029411764705882356,2.9411764705882346,63.0,8.40338264162601e-06,0.0009070317771913787,6.669351302877785e-07,6.669351302877785e-05,30
Hong Kong,2020-02-22,789,69.0,2.0,6.0,Hong Kong,7496.981,9.203704797971344e-06,0.0009203704797971344,0.028985507246376805,2.898550724637681,63.0,8.40338264162601e-06,0.0009203704797971344,8.003221563453343e-07,8.003221563453342e-05,31
Hong Kong,2020-02-23,822,74.0,2.0,11.0,Hong Kong,7496.981,9.870639928259123e-06,0.0009870639928259122,0.027027027027027032,2.702702702702702,63.0,8.40338264162601e-06,0.0009870639928259122,1.4672572866331126e-06,0.00014672572866331122,32
Hong Kong,2020-02-24,858,79.0,2.0,19.0,Hong Kong,7496.981,1.05375750585469e-05,0.0010537575058546902,0.02531645569620253,2.5316455696202533,60.0,8.003221563453342e-06,0.0010537575058546902,2.5343534950935584e-06,0.00025343534950935585,33
Hong Kong,2020-02-25,899,84.0,2.0,19.0,Hong Kong,7496.981,1.120451018883468e-05,0.0011204510188834679,0.023809523809523808,2.380952380952381,65.0,8.670156693741119e-06,0.0011204510188834679,2.5343534950935584e-06,0.00025343534950935585,34
Hong Kong,2020-02-26,944,91.0,2.0,24.0,Hong Kong,7496.981,1.2138219371237567e-05,0.0012138219371237568,0.02197802197802198,2.1978021978021984,67.0,8.936930745856233e-06,0.0012138219371237568,3.201288625381337e-06,0.00032012886253813367,35
Hong Kong,2020-02-27,995,92.0,2.0,24.0,Hong Kong,7496.981,1.2271606397295125e-05,0.0012271606397295126,0.021739130434782608,2.1739130434782608,68.0,9.070317771913788e-06,0.0012271606397295126,3.201288625381337e-06,0.00032012886253813367,36
Hong Kong,2020-02-28,1050,94.0,2.0,30.0,Hong Kong,7496.981,1.2538380449410236e-05,0.0012538380449410235,0.02127659574468085,2.127659574468085,64.0,8.536769667683563e-06,0.0012538380449410235,4.001610781726671e-06,0.00040016107817266713,37
Hong Kong,2020-02-29,1110,95.0,2.0,33.0,Hong Kong,7496.981,1.2671767475467792e-05,0.0012671767475467789,0.021052631578947368,2.1052631578947367,62.0,8.269995615568452e-06,0.0012671767475467789,4.401771859899338e-06,0.0004401771859899338,38
